,canonical_smiles
3787,CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@@H]1NCc1ccc2c(n1)NC(=O)CO2
3835,N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1
3886,N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](O)C3)c2c1
3249,COc1ccc2c(c1)C1(CCC2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)C1
1170,CC(c1cscn1)c1c(CCN(C)C)sc2ccccc12
1319,COc1cc(-c2cn(CC(=O)N(CC(F)(F)F)c3ccc4c(c3)CCC4)nn2)ccc1-n1cnc(C)c1
2287,N#Cc1nc(CCCN2CCOCC2)cc(-c2cccc(C(F)(F)F)c2)n1
1860,NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1
3198,O=C1CN([C@H]2CC[C@](c3ccccc3)(N3CCCC(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)C3=O)CC2)CCN1c1ccccc1
739,CC1CCN(C(=O)c2ccc3c(c2)c2c(n3C)CCN(C3CCOCC3)C2)CC1
998,CCCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2
1013,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
3523,COc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
3524,COc1c(N2CCC(C(C)N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
3576,COc1c(N2CC[C@@H]([C@H](C)NCCC#N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12
3577,COc1c(N2CC[C@@H](CNCCC#N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12
3695,COc1c(N2CCC(C(C)NCCC#N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12
3696,COc1c(N2CCC(CNCCC#N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12
3776,COc1c(N2CCC(CNCCC#N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
3815,COc1c(N2CC[C@@H]([C@@H](N)CC#N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
3816,CN[C@@H](C)[C@@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1
3818,COc1c(N2CC[C@@H]([C@H](C)NCCC#N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
3820,CN[C@@H](CC#N)[C@@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1
3823,COc1c(N2CC[C@@](C)([C@@H](N)CC#N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12
3826,COc1c(N2CCC(C(N)CC#N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12
483,N[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21
533,CN[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21
1822,CN(C)[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21
