,canonical_smiles
477,CCCCCCCCCC=CCCC=CC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCC
1323,OC1COC(O)C(O)C1O
1349,OCC1OC(O)C(O)C(O)C1O
1885,CC(=O)NC1C(O)OC(CO)C(O)C1O
2285,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
2491,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
2619,N#CC(=CCOC1OC(CO)C(O)C(O)C1O)CO
2722,CSCCCCC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O
1541,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1
1542,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
1547,CC=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
1551,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1
2203,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
581,C=C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C4(CO4)C1C)C23
1240,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1
2023,O=C(CO)NCCCOc1cccc(CN2CCCCC2)c1
1473,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1
368,COc1cc2c(cc1OC)C(Cc1ccc(O)cc1)N(C)CC2
1566,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1
1021,CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(C(=O)CCl)O1
85,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
