,canonical_smiles
98,CC(C)NCC(O)COc1cccc2ccccc12
173,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
202,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
265,COc1ccc2cc(CCC(C)=O)ccc2c1
65,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
158,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
153,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
133,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
255,CCCN(CCC)CCc1cccc2c1CC(=O)N2
87,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
311,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC
241,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
157,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl
269,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
273,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
227,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
300,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1
104,O=C(Oc1ccccc1C(=O)O)c1ccccc1O
143,CN1CCN2c3ncccc3Cc3ccccc3C2C1
239,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
120,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
287,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1
3,CS(=O)(=O)OCCCCOS(C)(=O)=O
19,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
46,NC(=O)N[C@@H](CCC(=O)O)C(=O)O
47,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
71,CN(C)C(=N)NC(=N)N
118,CC(=O)NO
125,NCCS
136,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
159,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC
212,CC(=O)NCCCS(=O)(=O)O
215,CC(C)C[C@H](CN)CC(=O)O
253,C=CC(N)CCC(=O)O
240,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
231,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
156,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
22,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
285,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
181,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
