,canonical_smiles
12,O=C(O)c1ccccc1O
15,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
21,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
24,C=CCOc1ccccc1OCC(O)CNC(C)C
29,NCCc1ccc(O)c(O)c1
49,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
52,O=Cc1ccc(O)c(O)c1
60,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
63,CN(C)CCOC(=O)COc1ccc(Cl)cc1
66,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
68,NC(=O)c1ccccc1
78,CC(C=O)Cc1ccc(C(C)(C)C)cc1
80,CCOC(=O)c1ccccc1C(=O)OCC
81,NC(=O)c1ccccc1C(N)=O
83,Nc1ccc(Cl)c(Cl)c1
85,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O
86,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
87,CC(C)c1ccc(C(C)C)cc1
88,O=Cc1ccccc1
116,COc1cccc(C=O)c1O
119,O=[N+]([O-])c1cc(I)c(O)c(I)c1
125,O=CC(=O)c1ccc(F)cc1
129,CCOc1cccc(C=O)c1O
132,Cc1ccccc1C(C)C
136,Cc1ccc(NN)cc1
140,Nc1ccc(Cl)cc1Cl
146,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
148,C=Cc1ccc(C)cc1
153,Nc1ccc(Cl)c([N+](=O)[O-])c1
158,COCCOc1ccc(NC(C)=O)cc1C(C)=O
159,COc1ccc(O)c(C=O)c1
162,Cc1cc(O)c(C)c(C)c1O
165,Nc1c(F)c(F)c(F)c(F)c1F
167,O=C(O)c1ccccc1C(=O)O
171,COP(=O)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
195,CN(C)CCNC(=O)COc1ccc(Cl)cc1
201,NC(=O)c1cccc(C(N)=O)c1
214,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
220,CC(C)(C)C(=O)OCC(=O)c1ccccc1
236,CCOc1cc(C=O)cc(C=O)c1O
237,COc1cc(C=O)cc(C=O)c1O
239,NC(=O)c1ccc(C(N)=O)cc1
242,N#Cc1ccc(C(N)=O)cc1
245,CCOC(=O)c1cc(C)c(N)c(C)c1
248,N#Cc1cccc(C(N)=O)c1
265,CCN(CC)CCOC(=O)COc1ccc(Cl)cc1
267,O=C(Cc1ccc([N+](=O)[O-])cc1)OCCF
269,COc1ccc(CC(=O)OCCF)cc1
272,COc1ccccc1C(=O)NCC(=O)N(C)C
273,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl
277,N#CSc1ccccc1
278,CNC(=S)c1ccccc1
291,O=C(O)c1ccccc1OP(=O)(O)O
292,Cc1cc(O)c(C(C)C)cc1SC#N
304,NC(=O)NC(=O)NCCc1ccccc1
305,CN(CCc1ccccc1)C(=O)NC(N)=O
306,NC(=O)NC(=O)NCCCc1ccccc1
307,NC(=O)NC(=O)NCCCCc1ccccc1
308,COc1ccc(CCNC(=O)NC(N)=O)cc1
317,CN(C)c1ccc(SC#N)cc1
322,CN(C)CCc1ccccc1Br
330,C=CCC(CC=C)c1ccccc1
331,C=CCC(CC=C)c1ccc(OC)cc1
338,CCN(CC)CCOCc1cc(OC)c(OC)c(OC)c1
342,COc1cc(COCCN(C)C)cc(OC)c1OC
348,COc1cc(COCCN)cc(OC)c1OC
360,C=CCN(CC(N)=O)c1ccccc1
364,CC(=O)Nc1ccc(CC(=O)O)cc1
373,CCN(CCBr)Cc1ccc(Cl)cc1
402,CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC
408,CC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
409,CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
414,CCN(CCN(C)C)c1ccccc1
440,C=C(C)C(=O)NCCc1ccc(O)cc1
443,O=C(CCl)CC(=O)Nc1ccccc1
444,CC(C)OCC(O)COc1ccccc1
448,CCN(CC)CCOC(=O)c1cc(C)c(N)c(C)c1
484,COc1c(C)cccc1CC(O)CO
520,CC(=O)Sc1ccccc1C(=O)O
566,CCN(CC)CCNC(=N)c1ccc(OC(C)C)cc1
582,CCN(CCCl)Cc1ccc(Cl)cc1
590,NC(=O)NC(=O)NCc1ccccc1
592,COc1ccc(OC)c(CCN(C)C(N)=O)c1
652,O=CC(=O)c1ccc(F)c(F)c1
772,CCOC(=O)c1ccc(NCP(=O)(OCC)OCC)cc1
773,CCCOP(=O)(CNc1ccc(C(=O)OCC)cc1)OCCC
823,CCN(CC)CCNC(=O)COc1ccc(Cl)cc1
847,CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC
852,CC(=O)Nc1ccc(OCC(O)C(C)O)cc1
876,C=CCc1ccc(OC(C)(C)C(=O)NCCN(C)C)c(OC)c1
880,C=CCc1ccc(OC(C)(C)C(=O)NCCN(CC)CC)c(OC)c1
881,C=CCc1ccc(OC(C)(C)C(=O)NCCCN(CC)CC)c(OC)c1
882,C=CCc1ccc(OC(C)(C)C(=O)NCCCN(C)C)c(OC)c1
898,OCc1ccccc1
901,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1
928,C=C(C)C(=O)N(C)[C@@H](C)[C@@H](O)c1ccccc1
934,Cc1ccccc1OC[C@@](C)(O)CO
949,CCN(CCI)Cc1ccc(Cl)cc1
982,CC(=O)OC[C@@H](COc1ccccc1)OC(C)=O
984,COc1ccc(OC[C@H](O)CO)cc1
989,CC(=O)OC[C@H](COc1ccccc1C)OC(C)=O
991,CC(=O)OC[C@H](O)COc1ccccc1
995,COc1cccc(OC[C@@H](O)CO)c1
996,CCCNC(=O)[C@@H](C)Nc1ccc(OCC)cc1
1000,OC[C@@H](O)COc1ccccc1
1004,O=C(O)/C=C/c1ccc(O)cc1
1007,CCC(CC)C(=O)N/C(=C\c1ccc(OC)cc1)C(=O)O
1015,C[C@](O)(CO)COc1ccccc1
1017,OC[C@@H](O)CSc1ccccc1
1022,CCCOC(=O)/C=C/c1ccccc1S(N)(=O)=O
1023,COC(=O)/C=C/c1ccccc1S(N)(=O)=O
1024,CCOC(=O)/C=C/c1ccccc1S(N)(=O)=O
1025,CC(C)OC(=O)/C=C/c1ccccc1S(N)(=O)=O
1026,CCCCOC(=O)/C=C/c1ccccc1S(N)(=O)=O
1030,CCOc1ccc(OC[C@@H](O)CO)cc1
1036,C=CCOc1ccccc1OC[C@@H](O)CO
1041,Cc1ccccc1SC[C@@H](O)CO
1043,C/C=C\c1ccc(OC)c(OC)c1
1051,C#CC(C)(C)NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1
1058,CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)cc1
1060,CCCCOC[C@@H](O)COc1ccccc1
1087,O=C(O)/C=C\c1ccc(O)cc1
1088,Cc1ccc(/C(Cl)=C/C=O)cc1
1091,O=C/C=C(\Cl)c1ccc(F)cc1
1096,O=C/C=C(\Cl)c1ccc(I)cc1
1097,COc1ccc(/C(Cl)=C/C=O)cc1
1108,O=C/C=C(\Cl)c1ccc(Cl)cc1
1129,CC(C)[C@](C#N)(C[C@H](C)N(C)C)c1ccccc1
1142,O=C=Nc1ccccc1
1146,Cc1ccc(C)c(C(=O)/C=C/Cl)c1
1147,Cc1cc(C)c(C(=O)/C=C/Cl)c(C)c1
1150,O=C(/C=C/Cl)c1ccc([N+](=O)[O-])cc1
1152,O=C(/C=C/Cl)c1ccc(I)cc1
1154,O=C(/C=C/Cl)c1ccc(Br)cc1
1155,Cc1ccc(C(=O)/C=C/Cl)c(C)c1
1156,O=C(/C=C/Cl)c1ccc(Cl)cc1
1159,CCc1ccc(C(=O)/C=C/Cl)cc1
1160,COc1ccc(C(=O)/C=C/Cl)cc1
1163,O=C(/C=C/Cl)c1ccccc1
1164,Cc1ccc(C(=O)/C=C/Cl)cc1
1167,O=C(/C=C/Cl)c1ccc(F)cc1
1192,C[C@H](COC(=O)COc1ccc(Cl)cc1)N(C)C
1194,CCCOc1ccccc1OC[C@@H](O)CO
1196,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1
1199,O=C/C=C(\Cl)c1ccc(Br)cc1
1202,O=C(/C=C/c1ccccc1)OCCF
1214,CC(=N\N)/C(=N/O)Nc1ccc(Cl)cc1
1215,CC(=N\N)/C(=N/O)Nc1ccc(N(C)C)cc1
1216,CC(=N\N)/C(=N/O)Nc1ccc(N(CCCl)CCCl)cc1
1217,CC(=N\N)/C(=N/O)Nc1cccc(Cl)c1
1218,CC(=N\N)/C(=N/c1cccc(C)c1)NO
1245,CCCCOc1ccccc1OC[C@@H](O)CO
1256,CCN(CC)C[C@@H](C)OC(=O)COc1ccc(Cl)cc1
1257,CCN(CC)[C@H](C)COC(=O)COc1ccc(Cl)cc1
1259,CCOC[C@H](O)COc1ccccc1
1261,CCOc1ccc(NC(=N\O)/C(C)=N/N)cc1
1262,CC[C@@H](C)OC(=O)/C=C/c1ccccc1S(N)(=O)=O
1286,COc1cc(OC)cc(OC[C@@H](O)CO)c1
1287,COc1ccc(/N=C(NO)/C(C)=N/N)cc1
1292,COc1cccc(OC[C@@](C)(O)CO)c1
1296,CS[C@@H](NC(=O)c1ccccc1)C(N)=O
1302,C[C@H](CN(C)C)OC(=O)COc1ccc(Cl)cc1
1313,Cc1ccc(OC[C@@](C)(O)CO)cc1
1317,Cc1cccc(OC[C@@](C)(O)CO)c1
450,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
1140,C=CCN1CCC[C@H]1c1cccnc1
1204,CCN1CCC[C@H]1c1cccnc1
355,CC1(C)Oc2cc(O)ccc2C2=C1CCCC2
356,CC1(C)Oc2cc(O)cc(O)c2C2=C1CCCC2
