,canonical_smiles
23,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
24,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
146,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
151,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)OCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
21,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
184,Nc1[nH]c(=O)ncc1F
5,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
6,Cc1cccc(Nc2ccccc2C(=O)O)c1C
115,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N
122,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1
159,C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1
136,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
167,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1
178,CCCCCCCCCCCCCCCC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
179,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
1,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
117,CNCCC=C1c2ccccc2CCc2ccccc21
4,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
79,CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
177,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
19,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
59,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C
56,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
120,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
139,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1
186,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1
35,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2
