,canonical_smiles
276,Cn1sc2c(c1=O)CCC2
866,CCOC(=O)C(=NOC(C)(C)C(=O)OC(C)(C)C)c1csc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)n1
556,N#CC1CC(F)CN1C(=O)C(N)C(c1ccc(F)cc1)c1ccc(F)cc1
601,CC(C)(C)OC(=O)NC(C(=O)N1CC(F)CC1C#N)C(c1ccc(F)cc1)c1ccc(F)cc1
253,Clc1ccnc(Cl)n1
441,CC(C)N(C(=O)CNc1ccccc1Nc1ccccc1)c1ccccc1
385,CCCCCCCCCCCC1=NC(C)(C)C(=O)O1
386,CCCCCCCCCCCCCCCC1=NC(C)(C)C(=O)O1
387,CCCCCCCCCCCCCCCCCC1=NC(C)(C)C(=O)O1
388,CCCCCCCCCCCCCCCCCCCC1=NC(C)(C)C(=O)O1
389,CCCCC1=NC(C)(C)C(=O)O1
390,CCCCCCC1=NC(C)(C)C(=O)O1
391,CCCCCCCCCC1=NC(C)(C)C(=O)O1
898,Cc1c2ccc(Nc3ccnc(Cl)n3)cc2nn1C
899,Cc1c2ccc(N(C)c3ccnc(Cl)n3)cc2nn1C
313,Nc1cc(F)cc(-c2cccnc2)c1
720,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12
657,CC(C)(C)CCCCC1(C(=O)OC(C)(C)CC(C)(C)C)OO1
613,CN1CCN(C)C1=O
971,O=C1NCCN1
151,O=c1c(O)c(O)c1=O
166,CCOc1c(OCC)c(=O)c1=O
476,CC(C)(C=NCC1(C)CC(N=CC(C)(C)CN2CCOCC2)CC(C)(C)C1)CN1CCOCC1
383,O=S(=O)(O)c1cc(Nc2nc(Cl)nc(NCc3ccc(Nc4nc(Cl)nc(Nc5cc(S(=O)(=O)O)cc6cc(S(=O)(=O)O)c(N=Nc7ccccc7S(=O)(=O)O)c(O)c56)n4)cc3)n2)c2c(O)c(N=Nc3ccccc3S(=O)(=O)O)c(S(=O)(=O)O)cc2c1
542,C=CC1(C)CC(OC(=O)COS(C)(=O)=O)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O
757,C=CC1(C)CC(OC(=O)CO)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O
268,Nc1c(OCCO)nn2ccccc12
