,Class
3787,0
3835,0
3886,0
3249,1
1170,1
1319,1
2287,1
1860,1
3198,1
739,1
998,1
1013,1
3523,0
3524,0
3576,0
3577,0
3695,0
3696,0
3776,0
3815,0
3816,0
3818,0
3820,0
3823,0
3826,0
483,1
533,1
1822,1
1946,1
1439,1
1836,1
2209,1
2292,1
1077,1
1889,1
2630,1
1174,1
1200,1
2022,1
3207,1
3355,1
662,1
1401,1
3129,1
719,1
1486,1
3448,1
2462,1
2772,1
2881,1
2889,1
930,1
1311,1
2890,1
2918,1
3890,0
141,1
2189,1
2262,1
2367,1
1604,1
307,1
1750,1
504,1
1722,1
39,1
334,1
336,1
572,1
1843,1
210,1
1648,1
746,1
1396,1
2617,1
3111,1
2324,1
375,1
900,1
3512,0
114,1
2282,1
991,1
859,1
2267,1
222,1
1622,1
3740,0
3469,1
1036,1
2515,1
2602,1
2828,1
858,1
2357,1
3893,0
1444,1
214,1
390,1
742,1
3264,1
3052,1
1624,1
2309,1
1365,1
1428,1
547,1
682,1
3366,1
2981,1
230,1
158,1
258,1
3304,1
3430,1
3471,1
2082,1
3365,1
1905,1
2342,1
2126,1
2681,1
3096,1
426,1
381,1
1056,1
3384,1
1075,1
66,1
356,1
683,1
1202,1
1911,1
2591,1
2982,1
2991,1
3283,1
3312,1
3318,1
3320,1
3332,1
1423,1
2725,1
3307,1
1313,1
2071,1
2079,1
3827,0
3870,0
305,1
521,1
1742,1
135,1
187,1
218,1
364,1
372,1
393,1
497,1
604,1
606,1
608,1
829,1
906,1
936,1
939,1
1120,1
1192,1
1321,1
1461,1
1531,1
1534,1
1697,1
1738,1
1766,1
1867,1
1936,1
2415,1
3095,1
3424,1
3438,1
3480,1
3481,1
3590,0
711,1
284,1
3564,0
467,1
968,1
579,1
3190,1
3019,1
822,1
1703,1
2440,1
2546,1
2721,1
1388,1
1390,1
2300,1
2187,1
1066,1
411,1
1181,1
2916,1
1382,1
322,1
339,1
380,1
863,1
3682,0
2875,1
2871,1
3718,0
1074,1
292,1
767,1
768,1
1619,1
1667,1
2933,1
3252,1
2075,1
536,1
1701,1
2475,1
997,1
2392,1
3233,1
3370,1
406,1
3670,0
702,1
2025,1
2742,1
3017,1
1625,1
1842,1
2686,1
3482,1
2103,1
3502,0
1146,1
192,1
736,1
3150,1
362,1
1810,1
3599,0
3702,0
1052,1
2165,1
3595,0
561,1
898,1
1414,1
1110,1
1795,1
3272,1
1557,1
514,1
873,1
1708,1
82,1
200,1
926,1
1945,1
3099,1
3189,1
3767,0
2448,1
346,1
1020,1
1268,1
1269,1
1635,1
1636,1
1985,1
1986,1
2196,1
2201,1
2985,1
2530,1
3800,0
3025,1
756,1
1492,1
1727,1
2007,1
2029,1
2230,1
2264,1
2359,1
2382,1
2443,1
2531,1
2620,1
2704,1
2737,1
2766,1
2782,1
2787,1
2849,1
2858,1
2862,1
2902,1
2944,1
2952,1
2955,1
2956,1
2968,1
3302,1
3626,0
582,1
1512,1
3519,0
3692,0
1084,1
1773,1
477,1
1511,1
3116,1
1509,1
659,1
1554,1
3255,1
1206,1
3773,0
3774,0
1195,1
3585,0
664,1
3540,0
353,1
2374,1
2563,1
338,1
1972,1
2095,1
913,1
1864,1
3652,0
1764,1
1797,1
2296,1
2377,1
753,1
3931,0
593,1
630,1
3459,1
216,1
2451,1
1482,1
