,Class
477,0
1323,0
1349,0
1885,0
2285,0
2491,1
2619,0
2722,0
1541,1
1542,1
1547,1
1551,0
2203,1
581,1
1240,1
2023,1
1473,1
368,0
1566,0
1021,0
85,1
1828,1
2798,0
217,1
1296,1
2406,0
245,1
470,0
564,1
575,1
596,1
607,1
614,1
2768,0
1502,0
31,1
377,0
634,1
635,1
646,1
647,1
655,1
666,1
667,1
677,1
914,1
2609,0
1351,1
966,0
1325,1
1809,1
878,0
102,0
193,0
692,1
2047,1
2176,1
2566,0
2618,0
14,1
873,0
1706,0
2096,1
2719,0
580,1
467,0
808,0
549,1
2775,0
486,0
1506,1
1226,1
2859,1
1742,0
2598,0
360,0
353,0
169,0
171,0
211,1
1141,0
2445,0
601,1
2729,0
637,1
332,0
682,1
1186,0
2300,0
2606,0
424,0
2740,0
1189,1
2301,1
10,0
15,0
20,0
34,0
51,1
57,1
59,0
62,1
79,1
111,1
115,1
125,0
130,1
168,0
172,0
189,1
197,0
199,1
204,0
212,0
229,1
252,0
257,1
262,0
266,1
271,0
302,0
303,0
304,0
308,0
310,0
315,0
319,0
321,0
322,0
358,0
367,0
652,1
654,1
688,1
689,1
698,1
701,1
702,1
716,1
724,1
727,1
731,1
733,1
734,1
736,0
758,0
766,1
795,0
802,0
804,0
812,1
821,1
836,1
857,1
858,1
864,1
865,0
866,1
890,1
891,0
899,1
910,0
920,0
927,1
932,0
935,1
964,0
976,0
978,1
981,1
1006,0
1011,1
1024,1
1029,1
1035,1
1036,0
1037,0
1038,0
1039,0
1040,0
1042,0
1051,1
1053,0
1060,0
1064,0
1078,1
1089,0
1091,1
1099,0
1110,1
1115,1
1129,1
1140,1
1142,1
1146,0
1151,0
1159,0
1171,1
1175,1
1177,1
1180,1
1181,0
1182,1
1203,0
1204,0
1207,0
1221,1
1236,1
1252,0
1256,1
1282,0
1285,1
1293,0
1295,1
1308,0
1328,0
1329,0
1360,0
1371,1
1380,1
1381,1
1407,1
1429,0
1430,1
1438,1
1440,1
1450,0
1472,0
1481,1
1488,1
1491,0
1522,1
1524,0
1527,1
1583,1
1618,0
1623,0
1635,0
1645,1
1648,0
1660,1
1719,1
1762,1
1763,1
1774,1
1802,0
1823,0
1827,0
1835,0
1840,1
1848,0
1851,1
1852,0
1862,1
1895,0
1935,0
1949,0
1953,1
1955,0
1970,0
1973,1
1987,1
2031,1
2052,1
2070,1
2091,1
2097,1
2167,0
2171,0
2172,0
2200,0
2257,1
2351,1
2363,1
2380,0
2402,1
2419,1
2420,1
2450,0
2454,0
2463,0
2474,1
2489,0
2507,0
2509,0
2510,0
2514,0
2518,0
2529,0
2539,0
2540,0
2562,0
2563,0
2564,0
2565,0
2568,0
2570,0
2574,0
2585,0
2591,0
2595,0
2845,0
2846,0
2871,0
333,0
2135,1
884,1
2362,1
2806,0
2128,1
440,0
1646,1
1606,1
1519,1
1387,0
1806,1
451,0
2776,0
776,0
814,0
997,0
998,0
999,0
2121,1
2123,1
326,0
127,1
983,0
1262,1
272,0
827,1
877,0
2152,1
2216,0
2469,1
1636,1
1808,1
2886,0
337,0
1503,0
110,0
2151,1
408,0
2872,0
1185,0
2486,1
1879,1
551,1
501,0
2660,0
29,0
810,1
265,0
1523,1
1275,0
479,0
2852,0
214,0
933,1
1607,0
106,1
2022,0
471,0
2830,0
2572,0
2679,0
2707,0
129,1
1538,1
239,1
960,1
2498,1
1184,0
2881,0
1199,1
1190,1
487,0
2854,0
2885,0
1341,0
2132,1
1573,1
1702,1
1217,0
136,1
947,0
2113,0
475,0
2365,0
2433,0
1079,0
1237,0
2289,0
876,1
439,0
2804,0
1886,0
2817,0
2628,0
1145,1
1766,1
2101,1
401,0
1969,0
656,1
785,1
783,0
37,1
2442,1
1214,1
1019,0
797,0
775,0
574,1
2668,0
843,1
507,0
573,1
621,1
671,1
437,0
2703,0
1627,1
170,0
263,0
1795,0
665,1
1047,0
2819,0
2827,0
291,1
2864,0
2016,0
484,0
33,1
1098,0
76,1
788,1
900,1
1104,1
1364,1
2505,0
2292,1
632,1
2766,0
2779,0
1255,1
699,1
1868,1
1033,1
1986,1
2793,0
2876,0
825,1
150,0
693,1
1361,0
2626,0
532,1
1406,1
1561,1
1608,0
2080,1
2254,1
2278,1
2392,1
2530,0
2755,0
820,0
1521,1
2153,1
405,0
2715,0
2843,0
2513,0
141,1
1739,1
1740,1
1972,1
2855,0
1612,1
568,1
275,0
815,0
1286,0
1331,1
1679,1
1902,1
2274,0
2475,0
1376,0
803,1
231,1
100,0
280,1
2888,1
1478,1
154,0
1395,1
221,1
835,1
948,1
1975,1
569,1
582,1
717,1
2823,0
1703,1
390,0
222,1
1218,1
1847,1
889,0
1588,1
1562,1
987,0
61,0
2427,1
917,0
2796,0
2809,0
895,1
411,0
2750,0
2727,0
1557,0
1849,0
2114,1
1683,1
2042,1
307,0
1963,1
1004,1
488,0
489,0
492,0
502,0
2673,0
669,1
213,1
1858,1
323,0
400,0
422,0
430,0
433,0
2724,0
2725,0
2751,0
2752,0
2770,0
2772,0
2781,0
2782,0
2783,0
2784,0
2791,0
2792,0
2794,0
284,0
1878,1
936,0
1332,1
2383,1
2586,0
2599,0
1259,0
498,0
1745,0
2641,0
897,0
1242,0
409,0
616,1
1592,0
1202,1
2088,1
1816,1
555,1
2125,1
274,1
746,1
1172,1
1205,1
1284,1
1375,1
1539,0
1699,1
1700,1
1947,1
2099,0
2690,0
2733,0
2734,0
2741,0
2743,0
2745,0
2754,0
2756,0
2757,0
2759,0
1345,1
867,1
628,1
1416,0
1707,0
11,0
1044,0
1782,1
1891,0
1686,1
2576,0
1454,1
2281,1
2522,1
2556,1
861,0
1077,1
1637,1
1844,1
483,0
1082,1
298,1
1883,1
290,1
2777,0
44,0
45,1
55,1
56,1
220,0
236,0
1130,0
1570,0
1582,1
1688,0
1694,1
1819,1
285,1
524,1
740,1
254,0
660,1
442,0
339,0
2633,0
478,0
2857,1
779,0
1466,1
1952,1
147,0
2447,1
2422,1
2437,1
2007,0
1861,0
2647,0
1063,1
320,0
955,0
1334,1
846,1
2651,0
161,1
1258,1
1567,1
178,1
2836,0
1353,1
1695,1
2245,1
1476,1
2873,0
1906,1
1899,1
1444,0
1392,1
1824,0
2270,1
862,1
1675,1
1908,1
379,0
381,0
2584,0
2646,0
1540,0
1192,1
954,1
523,1
944,0
1930,1
1401,1
2259,1
946,0
2133,1
2801,0
2802,0
2808,0
509,0
2055,1
2056,0
2067,1
2459,1
2531,1
2835,0
1596,1
2077,1
2878,0
1326,1
1241,1
941,1
2787,0
759,0
1998,0
1041,0
1102,0
829,1
2861,1
2680,0
1339,1
2029,1
1722,0
1723,0
1724,0
1725,0
1726,0
807,1
1787,1
398,0
1050,1
2140,1
988,0
2411,1
391,0
1101,0
2344,0
2593,0
1433,0
207,1
1924,1
743,1
2884,0
1654,1
2343,1
1306,0
1358,0
2186,1
389,0
762,0
885,1
2736,0
2462,0
2508,0
996,0
1568,1
1276,0
491,0
499,0
2430,1
2717,0
58,0
1486,1
1493,1
1931,1
2620,0
1117,1
1830,0
277,0
787,1
287,0
1235,0
114,1
49,1
1260,1
2057,1
2658,0
1294,1
2472,1
2222,0
71,1
431,0
334,0
1372,1
670,1
681,1
1114,1
1717,1
767,1
1373,1
352,0
1669,1
234,1
1385,1
1448,0
583,1
2024,1
354,0
18,1
19,1
267,1
811,1
993,1
1393,1
1400,1
2381,1
2456,1
2520,1
2050,1
466,0
2838,0
70,1
74,1
336,0
982,1
1330,1
1490,1
1577,1
1629,1
1677,1
1898,1
2341,1
2615,0
2814,0
311,0
314,0
318,0
331,0
664,1
705,1
719,1
2578,0
2581,0
2582,0
2588,0
469,0
1198,1
1144,1
1514,1
316,0
112,1
1232,1
2818,0
832,0
915,1
2558,1
60,0
1219,0
1761,0
2225,0
774,0
228,0
943,1
1298,1
1335,1
2238,1
1322,1
1121,0
958,0
773,0
1565,0
1666,0
1889,0
2550,0
2557,0
871,0
90,1
1603,1
1509,1
2614,0
2482,0
2276,1
2552,1
1996,1
1289,1
2073,1
2103,1
145,1
248,1
2525,0
448,0
1732,0
1162,1
493,0
82,0
94,0
177,0
754,0
755,0
793,0
880,0
881,0
907,0
923,0
995,0
1001,0
1022,0
1068,0
1113,0
1499,1
1500,1
1576,0
1609,1
1619,0
1693,0
1697,0
1701,1
1704,0
1855,1
1863,1
1932,0
1933,1
1980,0
1981,1
1982,1
1984,1
2015,1
2120,1
2122,0
482,0
2467,1
544,1
2851,0
