,Class
195,1
206,1
211,1
293,1
294,1
297,1
1525,1
1524,1
1574,1
155,1
147,1
1578,0
630,1
461,0
843,1
351,1
1021,1
466,0
1506,1
383,0
1265,0
1427,1
1464,1
343,1
45,1
767,1
1595,0
1261,1
336,1
90,1
329,1
481,1
1472,1
1473,1
424,0
490,0
491,0
544,0
551,0
552,0
553,0
900,0
1136,0
3,1
5,1
12,1
151,1
699,1
708,1
266,1
526,1
895,1
1344,1
1010,0
235,1
356,0
983,1
629,0
993,1
1056,1
19,0
1523,0
1299,0
1437,0
1497,0
173,0
613,0
1240,0
590,1
597,1
601,1
649,1
763,1
765,1
979,1
1058,1
1059,1
1071,1
1072,1
1226,1
1479,1
1306,1
238,0
577,0
578,0
836,0
838,0
939,0
974,0
976,0
1421,0
1447,0
1475,0
1476,0
1512,0
839,1
1559,0
1033,0
1048,0
1274,0
955,0
800,1
41,1
49,1
50,1
51,1
52,1
106,1
107,1
108,1
226,1
339,1
341,1
342,1
528,1
529,1
530,1
531,1
532,1
533,1
535,1
549,1
581,1
582,1
773,1
1131,1
1140,1
1141,1
1142,1
1162,1
1341,1
1342,1
795,1
164,1
575,0
772,0
633,1
161,1
741,1
1486,1
790,1
273,1
1216,0
1219,0
146,1
359,1
430,1
803,1
804,1
850,1
889,1
1069,1
1225,1
1585,0
16,0
512,0
771,0
891,0
1327,0
1359,0
1384,0
1388,0
1399,0
1566,0
1613,0
1081,0
1030,0
38,0
936,1
131,1
778,1
473,0
1563,0
571,1
853,1
439,1
1600,1
818,1
171,1
1445,1
420,1
1195,0
345,1
563,1
656,1
785,1
786,1
1500,1
1501,1
1535,1
1536,1
242,1
799,1
1478,1
499,1
935,1
284,1
417,1
752,1
1126,1
203,1
229,1
589,1
957,1
1390,0
126,1
1418,1
6,1
306,1
1315,0
1320,0
705,1
61,1
234,1
883,1
1088,1
1282,1
628,0
292,1
1076,1
219,1
324,1
443,1
623,1
624,1
748,1
793,1
794,1
997,1
1194,1
1228,1
1354,0
391,0
1353,0
1361,0
1395,0
1428,0
190,1
971,1
972,1
1543,1
878,0
768,1
987,1
1173,1
1442,1
454,1
113,0
1415,0
775,1
135,0
1148,1
262,1
263,1
479,1
562,1
641,1
1329,1
1330,1
779,0
1468,0
1112,1
539,0
1325,0
1528,1
1283,1
1347,1
1349,1
432,1
740,1
789,0
1417,0
413,0
868,0
604,0
663,1
894,1
125,0
1178,1
92,0
93,0
275,0
276,0
434,0
583,0
938,0
973,0
980,0
1446,0
714,1
67,1
317,1
1252,0
225,1
72,1
1200,1
1287,1
721,1
1279,1
1096,0
386,1
231,0
232,0
308,0
309,1
463,0
464,0
465,0
731,0
1215,0
176,1
177,1
178,1
179,1
489,1
495,1
516,1
517,1
518,1
519,1
520,1
521,1
523,1
524,1
673,1
674,1
713,1
715,1
717,1
828,1
829,1
830,1
856,1
857,1
858,1
859,1
1085,1
1086,1
1104,1
1159,1
1160,1
148,1
1368,1
462,0
873,0
1000,0
1032,1
1562,0
1281,1
1218,1
78,0
279,0
423,0
431,0
444,0
445,0
770,0
824,0
825,0
898,0
899,0
1101,0
1102,0
1153,0
1211,0
1212,0
1244,0
1269,0
1334,0
1335,0
1336,0
1337,0
1407,0
792,0
1517,0
1522,1
468,1
0,1
427,0
1117,0
1145,0
1146,0
913,1
303,1
337,1
712,0
157,1
197,1
198,1
227,1
228,1
1246,1
62,0
1106,0
1133,0
961,1
1303,1
919,1
89,0
1207,0
64,1
287,1
389,1
1184,1
1298,1
39,1
655,1
911,1
941,1
942,1
1090,1
110,1
112,1
1300,1
1614,0
144,0
1242,0
1425,0
902,1
344,1
665,1
991,1
1174,1
1367,1
256,1
672,1
57,0
261,0
1129,0
1457,0
1459,0
1550,0
781,1
42,1
1370,1
1209,1
17,1
