,Class
12,1
15,1
21,0
24,1
29,0
49,0
52,1
60,0
63,0
66,1
68,0
78,0
80,0
81,0
83,1
85,1
86,1
87,0
88,1
116,1
119,1
125,0
129,1
132,0
136,1
140,1
146,1
148,0
153,1
158,0
159,1
162,1
165,1
167,0
171,1
195,0
201,0
214,0
220,0
236,1
237,1
239,1
242,0
245,0
248,0
265,0
267,1
269,1
272,0
273,1
277,1
278,1
291,1
292,1
304,0
305,0
306,0
307,0
308,0
317,1
322,1
330,0
331,0
338,1
342,1
348,1
360,1
364,0
373,1
402,0
408,1
409,0
414,1
440,0
443,1
444,0
448,1
484,0
520,1
566,1
582,1
590,0
592,1
652,0
772,1
773,0
823,1
847,0
852,0
876,1
880,1
881,1
882,1
898,0
901,1
928,0
934,0
949,1
982,0
984,0
989,0
991,0
995,0
996,0
1000,0
1004,0
1007,0
1015,0
1017,0
1022,0
1023,0
1024,0
1025,0
1026,0
1030,0
1036,0
1041,0
1043,0
1051,1
1058,1
1060,1
1087,1
1088,1
1091,1
1096,1
1097,1
1108,1
1129,1
1142,1
1146,1
1147,1
1150,1
1152,1
1154,1
1155,1
1156,1
1159,1
1160,1
1163,1
1164,1
1167,1
1192,0
1194,0
1196,1
1199,1
1202,1
1214,1
1215,1
1216,1
1217,1
1218,1
1245,0
1256,1
1257,1
1259,0
1261,1
1262,0
1286,0
1287,1
1292,0
1296,0
1302,0
1313,0
1317,0
450,0
1140,1
1204,1
355,1
356,1
357,1
358,1
215,0
1010,0
1059,1
79,0
5,1
318,1
610,0
854,1
795,0
864,0
612,1
1157,1
1134,1
423,1
53,0
613,0
914,0
1305,1
765,0
766,0
1161,1
656,1
938,1
1243,0
1246,0
1258,0
1263,0
1278,0
404,0
1321,1
576,0
884,1
885,1
886,1
891,1
418,1
314,1
420,1
421,1
723,1
724,1
725,0
726,1
1092,1
1115,1
680,1
681,1
682,1
683,1
867,0
1219,1
735,0
736,0
354,0
366,0
1346,1
321,1
1029,0
266,0
461,1
1340,1
569,1
570,1
571,1
572,1
573,1
574,1
924,0
41,1
312,0
36,1
899,1
1071,1
862,0
381,1
849,0
529,0
127,1
1126,1
161,1
234,1
294,1
349,1
429,1
438,1
439,1
193,0
556,1
560,1
1072,1
1076,1
1239,1
1240,1
768,0
73,1
1206,0
1066,1
1308,1
374,1
1260,1
1207,1
1046,0
172,0
606,1
510,0
611,1
848,0
858,0
699,0
700,0
701,1
702,1
703,0
708,0
713,0
780,0
551,0
1093,1
799,0
431,1
0,0
463,1
464,0
465,0
200,0
276,1
839,1
1212,0
1213,1
1236,0
939,1
337,1
1252,0
1265,1
1298,1
1323,1
933,0
1083,1
1149,1
8,0
908,0
400,1
109,1
1110,1
452,1
453,1
454,1
455,1
456,1
916,1
1038,0
1237,0
761,0
762,0
763,0
764,0
1336,1
1177,1
1247,1
298,0
50,1
856,1
51,1
1069,1
1034,0
1035,0
912,0
687,1
691,0
857,1
705,0
706,0
462,1
1210,1
505,1
506,1
872,1
166,1
334,1
957,0
894,1
895,1
896,1
897,1
1197,1
1068,1
367,0
494,1
495,1
913,0
417,0
940,1
173,1
174,1
176,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
774,0
1222,0
1281,1
1344,1
1056,1
1057,1
1119,1
1173,1
947,1
108,1
932,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
751,1
757,1
759,1
283,1
353,1
589,1
873,1
655,1
754,1
843,1
639,0
776,1
777,1
1031,0
775,1
679,1
23,0
1009,0
1089,1
746,1
747,1
748,1
133,0
875,1
33,0
1138,1
382,0
1002,0
1186,0
1190,0
1227,0
1253,0
943,1
1125,1
1200,1
1341,1
479,1
1276,1
365,0
1318,0
887,1
888,1
889,1
890,1
892,1
903,1
910,1
1118,1
58,0
93,1
170,1
253,1
375,1
1343,1
1182,0
618,0
397,0
1233,1
553,0
1053,1
309,1
1065,1
1137,1
519,1
1189,0
202,1
1016,0
614,0
1203,1
1113,1
1098,1
653,1
654,1
1251,1
1264,1
961,0
962,0
963,0
955,0
1209,1
107,1
790,0
1301,0
1153,1
709,0
714,0
275,1
282,1
1179,1
1211,1
436,1
437,1
135,0
295,1
351,1
398,1
1073,1
581,1
1117,1
1178,1
155,1
778,0
1082,1
42,0
727,1
18,0
594,0
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
1319,1
1122,1
74,0
745,0
1130,1
1162,1
1337,1
1338,0
1165,1
1014,0
870,1
622,0
738,0
216,0
1047,0
508,1
509,0
1070,1
16,0
1048,0
130,1
426,1
945,1
1297,1
205,0
1063,1
638,1
1279,1
524,1
525,1
61,0
293,1
347,0
1220,1
1235,1
647,0
648,1
649,0
650,0
651,0
27,0
350,0
692,1
693,1
694,1
786,1
809,1
810,1
812,1
813,1
814,1
816,1
817,1
818,1
820,1
821,1
921,1
1223,1
796,0
442,0
586,0
624,1
904,0
405,1
1325,1
435,1
791,0
792,0
793,0
1127,1
1324,1
1329,0
392,1
401,0
695,1
811,1
815,1
819,1
822,1
954,0
69,0
45,1
552,0
19,1
67,1
121,1
122,1
163,0
206,1
271,1
288,1
297,1
718,1
719,1
720,1
721,1
1145,1
1099,1
1102,1
1105,1
1198,1
413,0
561,1
562,1
563,1
564,1
565,1
1201,1
10,0
1085,1
1230,0
128,0
470,0
607,0
608,0
640,0
641,0
642,0
643,0
645,0
865,0
1180,1
1299,0
1081,1
203,0
126,1
325,1
554,0
1342,1
207,1
755,1
883,0
861,0
244,1
628,0
372,0
673,0
311,1
1231,0
139,1
469,1
698,0
797,0
798,0
644,0
59,1
1269,1
142,0
211,0
212,0
447,1
449,0
458,0
555,0
558,0
620,1
28,0
40,1
911,0
424,1
433,1
477,1
919,1
1013,0
1176,1
923,0
869,0
303,0
619,1
1328,0
1021,0
953,0
959,0
972,0
985,0
1185,0
1241,1
1244,0
1248,0
1267,0
1171,1
1086,1
999,0
363,0
631,0
851,1
987,0
341,1
340,1
1103,1
1135,1
1052,1
968,0
319,0
941,1
942,1
946,1
1106,1
1109,1
840,0
981,0
983,0
806,1
1334,1
120,1
313,1
728,1
730,1
731,1
732,1
441,1
9,0
922,0
32,0
675,1
676,1
677,1
678,0
379,0
1315,1
1316,0
1339,0
175,1
177,1
198,1
270,1
584,1
585,1
84,0
992,0
1054,1
1224,0
1225,0
741,0
1139,1
389,1
395,1
48,0
4,0
749,1
434,0
925,0
926,0
929,0
935,0
960,0
975,0
976,0
977,0
978,0
979,0
986,0
990,0
993,0
1001,0
1005,0
1006,0
1187,0
1188,0
621,0
221,1
286,1
296,1
343,1
393,0
394,1
480,1
481,1
514,1
871,0
951,0
1121,1
952,0
1208,1
1008,0
632,1
427,0
391,1
25,0
466,1
467,0
468,0
866,0
1080,1
609,0
646,0
141,0
368,0
369,0
370,0
371,1
406,0
1175,1
459,1
1032,0
254,1
255,1
256,1
633,1
37,0
1064,1
863,0
287,1
770,0
893,1
1090,1
1027,0
1320,0
56,1
782,0
783,0
1045,0
1232,0
859,0
197,1
54,0
55,0
684,1
685,1
688,1
689,1
855,1
1345,1
169,1
335,1
567,1
1314,0
82,1
1221,1
974,0
997,0
1020,0
1255,0
1326,0
1327,0
1332,0
1333,0
629,0
794,0
39,1
1,1
2,0
3,0
6,1
13,0
20,0
47,0
57,0
70,1
72,1
75,1
76,1
77,1
91,1
92,1
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
111,1
112,1
114,0
115,1
123,1
124,1
131,0
137,0
138,1
143,0
144,0
149,1
150,0
151,0
152,1
156,1
157,1
160,1
191,1
192,0
204,1
217,0
218,0
219,0
222,1
223,1
224,1
226,0
227,1
228,1
229,1
230,1
231,1
232,1
235,1
238,1
240,0
241,1
243,0
246,1
252,0
274,1
279,1
281,1
289,0
320,1
332,0
333,1
377,0
378,1
386,1
387,1
388,1
396,1
410,1
568,0
578,1
583,1
605,1
627,1
657,1
658,1
834,0
837,0
838,1
845,1
846,1
850,0
