,Class
23,1
24,1
146,0
151,0
21,1
184,0
5,1
6,1
115,0
122,0
159,0
136,0
167,0
178,0
179,0
1,1
117,0
4,1
79,1
177,0
19,1
59,1
56,1
120,0
139,0
186,0
35,1
66,1
62,1
64,1
89,1
58,1
55,1
147,0
125,0
126,0
32,1
15,1
53,1
16,1
41,1
74,1
180,0
145,0
129,0
37,1
65,1
119,0
13,1
172,0
150,0
34,1
31,1
181,0
135,0
182,0
131,0
123,0
9,1
110,0
80,1
116,0
29,1
121,0
7,1
124,0
161,0
26,1
149,0
46,1
92,1
54,1
22,1
101,0
112,0
8,1
90,1
44,1
114,0
30,1
11,1
93,0
91,1
140,0
36,1
169,0
82,1
33,1
154,0
168,0
187,0
69,1
0,1
85,1
98,0
87,1
67,1
118,0
88,1
40,1
75,1
138,0
152,0
73,1
183,0
141,0
144,0
61,1
60,1
128,0
2,1
3,1
86,1
20,1
51,1
81,1
68,1
83,1
25,1
102,0
17,1
142,0
76,1
130,0
156,0
50,1
143,0
106,0
105,0
12,1
38,1
39,1
43,1
49,1
57,1
113,0
132,0
155,0
157,0
162,0
170,0
97,0
153,0
173,0
165,0
109,0
164,0
84,1
45,1
52,1
127,0
