SMILES,Label
CC(=O)NC1=CC=C(O)C=C1,0
CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,1
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,0
CS(=O)(=O)OCCCCOS(C)(=O)=O,0
NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,1
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,1
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,1
OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,0
NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,1
CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,1
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,1
C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,1
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,1
CC(=O)OC1=CC=CC=C1C(O)=O,1
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,1
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,1
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,0
OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,1
ClCCN(CCCl)P1(=O)NCCCO1,1
CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,1
COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,1
CC(C)(OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1)C(O)=O,1
CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1
CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,1
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,1
NS(=O)(=O)CC1=NOC2=CC=CC=C12,1
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,1
NC1=CC(C(O)=O)=C(O)C=C1,1
CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,1
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,1
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,1
COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,1
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0
NNC1=NN=CC2=CC=CC=C12,1
[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,0
