SMILES,Label
O=C(O)c1ccccc1O,1
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0
C=CCOc1ccccc1OCC(O)CNC(C)C,1
NCCc1ccc(O)c(O)c1,0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0
O=Cc1ccc(O)c(O)c1,1
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0
CN(C)CCOC(=O)COc1ccc(Cl)cc1,0
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1
NC(=O)c1ccccc1,0
CC(C=O)Cc1ccc(C(C)(C)C)cc1,0
CCOC(=O)c1ccccc1C(=O)OCC,0
NC(=O)c1ccccc1C(N)=O,0
Nc1ccc(Cl)c(Cl)c1,1
CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,1
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1
CC(C)c1ccc(C(C)C)cc1,0
O=Cc1ccccc1,1
COc1cccc(C=O)c1O,1
O=[N+]([O-])c1cc(I)c(O)c(I)c1,1
O=CC(=O)c1ccc(F)cc1,0
CCOc1cccc(C=O)c1O,1
Cc1ccccc1C(C)C,0
Cc1ccc(NN)cc1,1
Nc1ccc(Cl)cc1Cl,1
Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1
C=Cc1ccc(C)cc1,0
Nc1ccc(Cl)c([N+](=O)[O-])c1,1
COCCOc1ccc(NC(C)=O)cc1C(C)=O,0
COc1ccc(O)c(C=O)c1,1
Cc1cc(O)c(C)c(C)c1O,1
Nc1c(F)c(F)c(F)c(F)c1F,1
O=C(O)c1ccccc1C(=O)O,0
COP(=O)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1
CN(C)CCNC(=O)COc1ccc(Cl)cc1,0
NC(=O)c1cccc(C(N)=O)c1,0
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,0
CC(C)(C)C(=O)OCC(=O)c1ccccc1,0
CCOc1cc(C=O)cc(C=O)c1O,1
COc1cc(C=O)cc(C=O)c1O,1
NC(=O)c1ccc(C(N)=O)cc1,1
N#Cc1ccc(C(N)=O)cc1,0
CCOC(=O)c1cc(C)c(N)c(C)c1,0
N#Cc1cccc(C(N)=O)c1,0
CCN(CC)CCOC(=O)COc1ccc(Cl)cc1,0
O=C(Cc1ccc([N+](=O)[O-])cc1)OCCF,1
COc1ccc(CC(=O)OCCF)cc1,1
COc1ccccc1C(=O)NCC(=O)N(C)C,0
CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,1
N#CSc1ccccc1,1
CNC(=S)c1ccccc1,1
O=C(O)c1ccccc1OP(=O)(O)O,1
Cc1cc(O)c(C(C)C)cc1SC#N,1
NC(=O)NC(=O)NCCc1ccccc1,0
CN(CCc1ccccc1)C(=O)NC(N)=O,0
NC(=O)NC(=O)NCCCc1ccccc1,0
NC(=O)NC(=O)NCCCCc1ccccc1,0
COc1ccc(CCNC(=O)NC(N)=O)cc1,0
CN(C)c1ccc(SC#N)cc1,1
CN(C)CCc1ccccc1Br,1
C=CCC(CC=C)c1ccccc1,0
C=CCC(CC=C)c1ccc(OC)cc1,0
CCN(CC)CCOCc1cc(OC)c(OC)c(OC)c1,1
COc1cc(COCCN(C)C)cc(OC)c1OC,1
COc1cc(COCCN)cc(OC)c1OC,1
C=CCN(CC(N)=O)c1ccccc1,1
CC(=O)Nc1ccc(CC(=O)O)cc1,0
CCN(CCBr)Cc1ccc(Cl)cc1,1
CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,0
CC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0
CCN(CCN(C)C)c1ccccc1,1
C=C(C)C(=O)NCCc1ccc(O)cc1,0
O=C(CCl)CC(=O)Nc1ccccc1,1
CC(C)OCC(O)COc1ccccc1,0
CCN(CC)CCOC(=O)c1cc(C)c(N)c(C)c1,1
COc1c(C)cccc1CC(O)CO,0
CC(=O)Sc1ccccc1C(=O)O,1
CCN(CC)CCNC(=N)c1ccc(OC(C)C)cc1,1
CCN(CCCl)Cc1ccc(Cl)cc1,1
NC(=O)NC(=O)NCc1ccccc1,0
COc1ccc(OC)c(CCN(C)C(N)=O)c1,1
O=CC(=O)c1ccc(F)c(F)c1,0
CCOC(=O)c1ccc(NCP(=O)(OCC)OCC)cc1,1
CCCOP(=O)(CNc1ccc(C(=O)OCC)cc1)OCCC,0
CCN(CC)CCNC(=O)COc1ccc(Cl)cc1,1
CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC,0
CC(=O)Nc1ccc(OCC(O)C(C)O)cc1,0
C=CCc1ccc(OC(C)(C)C(=O)NCCN(C)C)c(OC)c1,1
