SMILES,Label
Cn1sc2c(c1=O)CCC2,1
CCOC(=O)C(=NOC(C)(C)C(=O)OC(C)(C)C)c1csc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)n1,0
N#CC1CC(F)CN1C(=O)C(N)C(c1ccc(F)cc1)c1ccc(F)cc1,0
CC(C)(C)OC(=O)NC(C(=O)N1CC(F)CC1C#N)C(c1ccc(F)cc1)c1ccc(F)cc1,0
Clc1ccnc(Cl)n1,1
CC(C)N(C(=O)CNc1ccccc1Nc1ccccc1)c1ccccc1,1
CCCCCCCCCCCC1=NC(C)(C)C(=O)O1,1
CCCCCCCCCCCCCCCC1=NC(C)(C)C(=O)O1,1
CCCCCCCCCCCCCCCCCC1=NC(C)(C)C(=O)O1,1
CCCCCCCCCCCCCCCCCCCC1=NC(C)(C)C(=O)O1,1
CCCCC1=NC(C)(C)C(=O)O1,1
CCCCCCC1=NC(C)(C)C(=O)O1,1
CCCCCCCCCC1=NC(C)(C)C(=O)O1,1
Cc1c2ccc(Nc3ccnc(Cl)n3)cc2nn1C,0
Cc1c2ccc(N(C)c3ccnc(Cl)n3)cc2nn1C,0
Nc1cc(F)cc(-c2cccnc2)c1,1
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,0
CC(C)(C)CCCCC1(C(=O)OC(C)(C)CC(C)(C)C)OO1,0
CN1CCN(C)C1=O,0
O=C1NCCN1,0
O=c1c(O)c(O)c1=O,1
CCOc1c(OCC)c(=O)c1=O,1
CC(C)(C=NCC1(C)CC(N=CC(C)(C)CN2CCOCC2)CC(C)(C)C1)CN1CCOCC1,1
O=S(=O)(O)c1cc(Nc2nc(Cl)nc(NCc3ccc(Nc4nc(Cl)nc(Nc5cc(S(=O)(=O)O)cc6cc(S(=O)(=O)O)c(N=Nc7ccccc7S(=O)(=O)O)c(O)c56)n4)cc3)n2)c2c(O)c(N=Nc3ccccc3S(=O)(=O)O)c(S(=O)(=O)O)cc2c1,1
C=CC1(C)CC(OC(=O)COS(C)(=O)=O)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0
